,Artist,Description,venue,Date,price,videos
32,Oh Susanna,"** PLEASE NOTE: This show will take place at our alternative home for the evening: THE WATER RATS, 328 Grays Inn Road, Kings Cross, WC1X 8BZ. Doors open 7.30pm. Music starts 8pm. ** OH SUSANNA (Suzie Ungerleider) is celebrating the 20th anniversary of her critically acclaimed debut album “Johnstown” with a re-mastered release.  Originally released in 1999, “Johnstown” is considered a contemporary folk-noir masterpiece brimming with ghostly songs of melancholic beauty and menace.  Oh Susanna’s voice evokes a cinematic narration to simultaneously warm the heart and chill the blood. This and her follow up “Sleepy Little Sailor” launched Oh Susanna in the UK and in celebration of this special anniversary, she will be performing “Johnstown” in its entirety as well as favourites from her catalogue.“Brilliant debut album” – UNCUT Magazine“Ungerleider is a natural story-teller with a bewitching voice.” – The Times ",THE WATER RATS,Mon 9th September 8:00pm,£ 14.00,"['https://www.youtube.com/embed/k6YaHo0Wir4', 'https://www.youtube.com/embed/k6YaHo0Wir4', 'https://www.youtube.com/embed/k6YaHo0Wir4', 'https://www.youtube.com/embed/k6YaHo0Wir4', 'https://www.youtube.com/embed/k6YaHo0Wir4', 'https://www.youtube.com/embed/k6YaHo0Wir4', 'https://www.youtube.com/embed/k6YaHo0Wir4']"
33,Kiku SongShare,KiKu presents SongShare – An intimate deep dive into your favourite songs by your favourite London-Based Singer/Songwriters. Join in the conversation as we explore the inspiration and creative processes of songwriters. This event is for avid MusicLovers and MusicMakers alike.,GREEN NOTE,Mon 9th September 8:00pm,£ 10.00,[]
34,Arkansas Dave,"ARKANSAS DAVEIt’s a romantic cliché to find an escape in music and the blues, but living that life is a different matter. Ask Dave about growing up in a broken home, with fundamental Christianity on one side, and crippling drug-addiction on the other, and you can see in his eyes that this is no easy ride, and that at times music really was his only friend.
After High School, Arkansas Dave played in bands, funding his music with a succession of jobs where he had to find his feet quickly – from bus boy to assembly-worker in a trash-bag factory.
His wake up call came at the edge of a breakdown with a cataclysmic weekend epiphany. He headed home for a rare visit, and was persuaded to play a few songs to his family. The response he got from his grandfather sent his mind racing, only for him to find out the next week that his grandfather had died 24 hours later.
Determined to clean himself up, and sort his life, Arkansas Dave enrolled on an audio engineering course at Media Tech in Austin Texas, driving into town with a trailer loaded with all his possessions, ‘like something out of the Beverly Hillbillies’.
And that’s where everything changed – the college was housed at that time in the famous Arlyn Studios, home to sessions from Willie Nelson, Neil Young and Ray Charles. Dave with his musical co-horts took the night shift at the studios – laying down tracks and learning the ropes.A succession of bands followed, picking up a strong local following around Austin. The final part of his musical education saw Dave touring North America as a member of old bluesman Guitar Shorty’s band, where he learned ‘what it took to be a professional musician’
Fast forward to 2016 and Dave has written the album he’s always wanted to create – a wide ranging blues-rock based record that tells the story of his life, but resonates with all of us.The project just needed one more ingredient, so enter the Swampers, the legendary Muscle Shoals Rhythm Section. In a blistering eight-day recording session at Fame Studios the band laid down the backing tracks, and Dave returned to Arlyn to complete the vocals.
So the next chapter of Dave’s life is about to be written as he pulls his band together and takes his album out on the road – this time on a road that he’s building….“Honest Americana, Blues and Rock n Roll that reflects the spirit of the South.”",THE BASEMENT BAR,Mon 9th September 8:00pm,£ 10.00,"['https://www.youtube.com/embed/WAiUg64R8Qg', 'https://www.youtube.com/embed/WAiUg64R8Qg', 'https://www.youtube.com/embed/WAiUg64R8Qg', 'https://www.youtube.com/embed/WAiUg64R8Qg', 'https://www.youtube.com/embed/WAiUg64R8Qg', 'https://www.youtube.com/embed/WAiUg64R8Qg']"
35,Marcus Bonfanti & The Delta Duo,"MARCUS BONFANTI is an award-winning singer, guitarist & songwriter from London and the new guitarist & singer of legendary British Rock & Roll band Ten Years After. He has also fronts The Ronnie Scott’s Blues Explosion at their monthly residency now into it’s fifth year at the prestigious London venue.A twice winner of the British Blues Award for Best Acoustic Performer and Best Songwriter as well as countless nominations in other categories, Bonfanti has toured the world with many artists as well as his own band and released 3 critically acclaimed albums in a his so far short but successful musical career.He has worked with Ginger Baker, Van Morrison, PP Arnold, Shuggie Otis, Ronnie Wood, Joe Louis Walker, Eric Burdon and many other legendary musicians.Known for his deep powerful vocal style and ability to combine many different guitar styles to create his own, Bonfanti’s solo acoustic show consists of music by all the great artists that have influenced his unique solo sound.Tonight he presents a special intimate show especially for the Green Note Basement with Jihad Darwish joining him on Upright BassExpect songs by Muddy Waters, Josh White, Big Bill Broonzy, Robert Johnson, Ray Charles, Mississippi John Hurt, Tom Waits, Bob Dylan, Taj Mahal and many more.“Utterly spellbinding” The Times“The next British blues guitar hero” The Guardian",THE BASEMENT BAR,Tue 10th September 8:00pm,£ 12.00,"['https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM', 'https://www.youtube.com/embed/0cbPakWMpNM']"
36,The Jambalaya Band,"THE JAMBALAYA BAND have been making a name for themselves as the hottest honky tonk band in town. After setting up their own honky tonk at London venues, they’ve got everyone shaking off their blues in true country style. Featuring Pedal Steel, Telecaster, Fiddle and female harmonies, these guys and gals mean business.Expect to hear tunes from the golden era of country music, everything from George Jones and Hank Williams to Loretta Lynn and Kitty Wells.",GREEN NOTE,Tue 10th September 8:30pm,£ 10.00,[]
37,Jake Morrell + Megan O’Neill,"JAKE MORRELL could have come straight out of Nashville, or even from the Californian sunshine, as his music suggests; but Jake is from Norfolk, England!Jake was ‘discovered’ by Dermot O’Leary, who featured him on his Radio 2 Show. One influential listener just so happened to be Glastonbury boss Emily Eavis, who immediately asked Jake to perform at the iconic festival.Jake recorded his debut single with London based producer Brett Shaw (Florence & The Machine, The Kooks & Dry the River). The song entitled “Wire and Thorns” reached No.2 in the iTunes country charts on the first day of release. This led to Jake being invited to perform at this year’s Country 2 Country festival, where he premiered his first major single, the appropriately titled ‘Englishman (Trying to Write a Country Song)’ – written with the Grammy-winning writer/producer Kipper.The reaction to the song put Jake firmly in line as one of the country’s favourite new male artists in the genre.This lead to a string of both solo and band shows and festivals throughout the summer with Jake showing himself to be as irresistible as a solo act as he is with his band.The most exciting new development, however, is the new music that Jake has now recorded to launch the next phase of his career. This is led by a joyous forthcoming single, ‘Home’, written and produced with Rolling Stones keyboardist, Matt Clifford. With an evocative mix of Mumford & Sons, Eagles and even Springsteen, ‘Home’ is the definitive track that firmly stamps Jake Morrell’s name across the UK country music scene. Irish born singer – songwriter MEGAN O’NEILL is currently working on her second full-length, studio album, set for full release in 2020. This much anticipated record follows her last album release, ‘Ghost of You’ (June 2018) which hit #1 on the iTunes singer/songwriter charts in the UK and Ireland.To date Megan has toured the UK, Ireland, US and Germany. She has performed at private Oscars’ parties in LA alongside Gavin James (on personal invite from JJ Abrams) and has had her song ‘Don’t You’ featured on ABC’s hit TV Show ‘Nashville’ (Season 3).Prior to her album ‘Ghost of You’; Megan released two EP’s: ‘Coming Home’ (2015) – produced by Philip Magee (The Script, Kodaline) and ‘Stories to Tell’ (2017) – produced by Guy Fletcher (Dire Straits, Mark Knopfler). She also released a single under Decca Records in collaboration with Ben Earle (The Shires) – ‘Can’t Put a Price on That’ (2016).Megan is an integral artist in the currently booming UK Country Music Scene, being termed “one of the rising stars” by uDiscover (2018). In 2018, she performed at every UK Country Music Festival including Country-2-Country (at the 02, London), Black Deer Festival, The Long Road Festival and Nashville Meets London’s series of events. She has been twice chosen as one of Timeout Magazine’s ‘Rising Stars in Country Music’.This year sees Megan taking the main stage at the British Country Music Festival and Dixie Fields Festival – two brand new festivals launching in 2019 due to the demand for more country music events in the UK.  ",GREEN NOTE,Wed 11th September 8:30pm,£ 12.00,"['https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y', 'https://www.youtube.com/embed/7IzWzjcDmsU', 'https://www.youtube.com/embed/akD6JsTAf-Y']"
38,Michele & Romeo Stodart present…,"Following the resounding success of their residency at Green Note over the past three years, Mercury Prize nominees THE MAGIC NUMBERS‘ brother and sister Romeo and Michele Stodart, return to host another series of dates, featuring special guests and friends that they’ve played with over the years…The evening will feature performances from the hosts themselves, who sometimes find themselves collaborating with their guests, injecting a spontaneous energy to the stage.The night’s line up is always kept like a naughty little secret until the doors are opened. Last year featured some incredible songwriters, musicians and performers such as Kathryn Williams, McAlmont & Butler, Sam Amidon, Ren Harvieu, Emily Barker, Luke Haines, David Kitt, Josh Kumra, David Ford, Polly Paulusma, Penelope Isles, The Goat Roper Rodeo Band and many many more!There’s nothing quite like this absolute Love In of a night… it usually sells out in advance, so we recommend buying your tickets NOW!For more information about The Magic Numbers and their latest album release click here.  ——————————————————————————",GREEN NOTE,Thu 12th September 8:30pm,£ 12.00,"['https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk', 'https://www.youtube.com/embed/RlYEPiqwJfU', 'https://www.youtube.com/embed/Wf_KIXuJhgk']"
39,Shirt Tail Stompers,"SHIRT TAIL STOMPERS: One of the world’s leading swing bands and London’s top vintage band, the Shirt Tail Stompers are firmly established at home and internationally playing Harlem swing and the hot jazz of the 1920s, 1930s and 1940s. Featuring music from composers such as Duke Ellington, Count Basie and Benny Goodman, their goal is to make this early form of pop music popular again.
Highlights include the BBC Culture Show, Royal Albert Hall late night Jazz, Edinburgh Jazz and Blues Festival and National Theatre River stage.
‘Expect singing, dancing and a whole load of fun!’
‘The best vintage band anywhere‘ White Mink
‘Righteously retro, but youthful, trad jazzers dive back to prohibition­ era speakeasies for inspiration, playing clarinet/trumpet/guitar­led Dixieland hits from Waller, Ellington and Basie’ Time Out London ",THE BASEMENT BAR,Fri 13th September 8:00pm,£ 10.00,"['https://www.youtube.com/embed/URg2dilSvxI?feature=oembed', 'https://www.youtube.com/embed/W1xZjj-w2VE?feature=oembed', 'https://www.youtube.com/embed/URg2dilSvxI?feature=oembed', 'https://www.youtube.com/embed/W1xZjj-w2VE?feature=oembed']"
40,Beto Caletti & Mishka Adams – Songs from South America,"The duo of BETO CALETTI and MISHKA ADAMS has its musical roots firmly planted in South America’s Afro-Latin rhythmic traditions. Their sound stretches from the African influenced Baião of northeastern Brazil, south through the jazzy harmonies of samba and bossa nova from Rio, down into the earthy beats of Uruguayan candombe and the dancing rhythms of the chacarera and milonga of Argentina.Their compositions emerge from this melting pot of rhythms, and take the listener on a journey in four diverse languages – Spanish, Portuguese, English, and Tagalog (Filipino) – Mishka’s mother tongue. The combination of guitar, handheld percussion and intricate vocal harmonies bring an intimate experience of story and song, tradition and innovation, and love across continents.

“Bringing together Argentinian and Brazilian music with a singer-songwriter’s personal touch and superb musicianship.” – Alison Bentley, London Jazz News“…the duo journey through South America – different countries, different languages, different rhythms all blending beautifully…” – Lance Liddle, Bebop Spoken Here ",GREEN NOTE,Fri 13th September 8:30pm,£ 12.00,"['https://www.youtube.com/embed/W_qo4ethkeY', 'https://www.youtube.com/embed/W_qo4ethkeY', 'https://www.youtube.com/embed/W_qo4ethkeY', 'https://www.youtube.com/embed/W_qo4ethkeY', 'https://www.youtube.com/embed/W_qo4ethkeY']"
41,Rob Picazo,"Rob Picazo is a Rhythm & Blues singer and guitarist born in Madrid and based in the South East of the UK. He writes and performs his own material in an attempt to combine soulful vocals, relatable lyrics and bluesy melodies, all the while influenced by great Soul and Blues performers such as Sam Cooke, Ray Charles and Dan Penn. Following a two month trip through the South of the US, filming a documentary about roots music, Rob has been playing in popular venues throughout Sussex, Kent and London, and opening for great artists such as Gwyn Ashton, Brooks Williams, Julie McKee and Dom Pipkin. ",THE BASEMENT BAR,Sat 14th September 8:00pm,£ 9.00,"['https://www.youtube.com/embed/_4KRVgI1fx4', 'https://www.youtube.com/embed/_4KRVgI1fx4', 'https://www.youtube.com/embed/_4KRVgI1fx4', 'https://www.youtube.com/embed/_4KRVgI1fx4']"
42,Darren Eedens & the Slim Pickin’s,"DARREN EEDENS & THE SLIM PICKIN’S: Darren Eedens is a Honky Tonkin’ Americana inspired Banjo and Guitar player. Hailing from Ontario Canada he now calls Cardiff Wales home. Together with his band of Slim Pickin’s, he uses his unique and powerful voice to captivate anyone within earshot. With an unmatched live energy, they share his views on life and more often death, shedding a beautiful light on the tragic tale. Darren Eedens and the Slim Pickin’s have been bringing fun energetic Americana to festival stages all around Europe and the UK, they have people up on their feet from the first note picked, right down to the absolute silence during ballads of love lost. Having toured much of Europe for a number of years as a solo performer, Darren put together a strong band of musicians that also wanted to turn the idea of Country and Roots music on its head. They pack as many notes in tune as they can and have created an albums worth of music that will be recorded and released in April 2019.",GREEN NOTE,Sat 14th September 8:30pm,£ 10.00,"['https://www.youtube.com/embed/NPlakA1X69M', 'https://www.youtube.com/embed/DCKnYR_6Ghs', 'https://www.youtube.com/embed/NPlakA1X69M', 'https://www.youtube.com/embed/DCKnYR_6Ghs', 'https://www.youtube.com/embed/NPlakA1X69M', 'https://www.youtube.com/embed/DCKnYR_6Ghs']"
43,Klezmer-loshn,"Loshn – Yiddish for tongue/language- are a new Klezmer ensemble exploring the traditional music of Ashkenazi Jewish culture. Their interpretation and arrangement of old repertoire sees their music speak, sing and dance with the tradition’s distinct Yiddish accent and vocabulary.The members of Loshn are an exciting collaboration between one of the UK’s most established interpreters and teachers of the style, with the next generation of Klezmorim. Clarinetest John McNaughton and fidl player Anna Lowenstein are joined by Susi Evans on accordion to bring together a collective 30 years of study, knowledge and experience of Klezmer music.",THE BASEMENT BAR,Sun 15th September 8:00pm,£ 10.00,[]
44,Boo Hewerdine,,GREEN NOTE,Sun 15th September 8:30pm,£ 15.00,"['https://www.youtube.com/embed/f4TVMVTZ4xo', 'https://www.youtube.com/embed/DhGvKiQPQvk', 'https://www.youtube.com/embed/f4TVMVTZ4xo', 'https://www.youtube.com/embed/DhGvKiQPQvk']"
45,Greg Russell,"Presented by… Possessed of an extraordinary voice that’s ‘full of character’ (The Telegraph), over the last 5 years Greg Russell has established himself as one of the most significant players on the U.K. folk scene. Playing guitar, bouzouki and singing, in 2013 he won the BBC Radio 2 Young Folk Award and in 2014 won the Horizon Award from the same source alongside Ciaran Algar.Since 2016, Greg has also been involved in two critically acclaimed projects; The Transports (5 stars The Guardian) and Shake the Chains (4 stars The Guardian). The latter, a project put together by Greg which included Peggy Seeger, Martin Simpson and many more.Singing a mixture of original and traditional song in 2017, Greg released his debut solo album, Inclined to be Red, declared ‘a powerful statement’ (Acoustic), ‘excellent’ (RnR Magazine), ‘a splendid thing’ (Maverick) and ‘convincingly individual’ (fRoots). ",GREEN NOTE,Mon 16th September 8:30pm,£ 12.00,"['https://www.youtube.com/embed/TLrcOvYKg2o', 'https://www.youtube.com/embed/TLrcOvYKg2o', 'https://www.youtube.com/embed/TLrcOvYKg2o', 'https://www.youtube.com/embed/TLrcOvYKg2o', 'https://www.youtube.com/embed/TLrcOvYKg2o']"
46,Kevin Pearce,"KEVIN PEARCE is a Singer/Songwriter from Essex. Pearce is set to perform a long set at this show as a warm up before he sets off on a tour opening for the ever brilliant Turin Brakes,which spans four months.He has received plaudits for his work from The Independent, The Guardian and Mojo magazine as well as receiving BBC Radio 2 and BBC 6 Music support.Kevin has toured with the likes of Turin Brakes, Beth Orton, Roddy Frame (Aztec Camera) and Echo And The Bunnymen.When he grows up he would like to be an Astronaut.Pearce’s sonic approach, where different textures and techniques are combined to give his sound its uniqueness and power are are topped off with a keening, really quite incredible and timeless voice.",THE BASEMENT BAR,Tue 17th September 8:00pm,£ 10.00,[]
47,Katy Hurt,"Belles & Gals present… KATY HURT with support from EMILY FAYE.Katy Hurt has rapidly become a leading light on the UK Country/Americana scene and all without having released a full length studio album. 2018 has seen her nominated for “Best Country/Folk Act” at the Unsigned Music Awards as well as performing festival slots at Country 2 Country, BlackDeer, Rhythmtree, Cornbury and many more. Katy spent 2017 and 2018 performing at 100+ shows each year around the country since the launch of her EP “Pieces of Me” and highly praised singles from her upcoming EP “Unfinished Business, with songs impressing fans by combining the honest lyrical content of country with riffs and haunting vocals.BBC Radio 2’s Paul Sexton described Katy as “One of the most exciting prospects on the burgeoning country scene”, saying “Hurt’s distinctive EP is the latest evidence of a career that’s already produced an iTunes UK Country No. 1 in ‘Love You More, she’s a vivacious and magnetic performer…Check her out now whilst you can still get to the front row”. Katy’s performance at The Pilton Party, highly praised by Michael Eavis, introduced crowds to her latest singles displaying great crossover potential into the rock, pop and blues genres. “Truly a diverse artist”.  From the English countryside to the bright lights of London, singer-songwriter Emily Faye knew her footsteps would lead to pursuing her passion.Her captivating music combines her angelic vocals with strong catchy melodies drawing influences from Country, Rock and Pop genres.A natural, passionate and devoted song writer, Emily believes in writing what she knows. Her songs create strong imagery with the influence of her past and present life experiences.",GREEN NOTE,Tue 17th September 8:30pm,£ 10.00,"['https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI', 'https://www.youtube.com/embed/HHcG7ZArloM', 'https://www.youtube.com/embed/MvtQBLiSjYI']"
48,Serious Sam Barrett featuring James the Fang,"Serious Sam Barrett is a hard touring, folk and country singer/songwriter from Otley, West Yorkshire. Playing honest, heartfelt self penned and traditional songs on 12 string guitar and banjo.“Serious and the Fang’s mix of the traditional tunes and their own blend seamlessly, it’s Americana in its truest form” Americana UK”“The sustained brilliance of this playing is really something to behold.” Bob Harris, BBC Radio 2“Songs that rattle with the ghosts of Appalachian folk, and southern blues, yet sound emphatically English.” Uncut Magazine“Old before his years country-folk fellow who mixes intricate John Fahey finger-picking with confessional tales of dirty old Leeds” The Guardian",THE BASEMENT BAR,Wed 18th September 8:00pm,£ 10.00,"['https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog', 'https://www.youtube.com/embed/ukrk6l3QQq4', 'https://www.youtube.com/embed/jWkxALLH4xI', 'https://www.youtube.com/embed/SK5jurBYVog']"
49,The London Klezmer Quartet,"A celebratory and soulful musical journey starting in Jewish eastern EuropeThe London Klezmer Quartet… Laugh, cry, dance and sing as the London Klezmer Quartet brings you the best of klezmer in a journey from the Baltic to the Black Sea – and far beyond – played on violin (Ilana Cravitz), clarinet (Susi Evans), piano accordion (Josh Middleton) and double bass (Indra Buraczewska). You can also enjoy Indra’s sultry vocals breathing new life into old songs of love, life, food and drink.“Exuberant yet cultured playing… no shortage of dynamism here… The tradition is safe in the hands of the next generation.” Sunday Times“Dynamic and authentic.” Time Out, London",GREEN NOTE,Wed 18th September 8:30pm,£ 12.00,"['https://www.youtube.com/embed/F40ylErhDZw', 'https://www.youtube.com/embed/0ceFug6DOPk', 'https://www.youtube.com/embed/F40ylErhDZw', 'https://www.youtube.com/embed/0ceFug6DOPk', 'https://www.youtube.com/embed/F40ylErhDZw', 'https://www.youtube.com/embed/0ceFug6DOPk', 'https://www.youtube.com/embed/F40ylErhDZw', 'https://www.youtube.com/embed/0ceFug6DOPk', 'https://www.youtube.com/embed/F40ylErhDZw', 'https://www.youtube.com/embed/0ceFug6DOPk', 'https://www.youtube.com/embed/F40ylErhDZw', 'https://www.youtube.com/embed/0ceFug6DOPk']"
